,Id,제조사,모델명,배지,세부 배지,연식,모델연도,가격,주행거리,연료,변속기,등록 상태,판매 유형,마지막 수정일,판매지역,판매처,차량번호,내차피해,타차가해,소유자변경이력,내차피해금액,타차가해금액,번호판변경이력,전체침수횟수,일부침수횟수,모델 종류
10358,39178377,현대,싼타페 더 프라임,디젤 2.0 2WD,밸류 플러스,201710.0,2018,1319.0,123550.0,디젤,오토,ORIGINAL,일반,2025-03-19 22:16:21.000 +09,부산,베리카,10누7258,2,2,2,288.3287,214.6584,0,0,,싼타페
29432,38695184,현대,아반떼 AD,1.6 GDI 모던,(세부등급 없음),201603.0,2016,780.0,114894.0,가솔린,오토,ORIGINAL,일반,2025-03-20 12:01:11.000 +09,경남,대동모터스,54모0453,4,3,1,310.9031,77.5865,0,0,,아반떼
26834,38728023,현대,아반떼 (CN7),1.6,인스퍼레이션,202102.0,2021,1920.0,28342.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:17:02.000 +09,경기,아이원모터스,153오3136,1,0,4,612.4733,0.0,0,0,,아반떼
30682,39137764,현대,아반떼 AD,1.6 GDI 밸류 플러스,,201808.0,2018,1100.0,88834.0,가솔린,오토,ORIGINAL,일반,2025-03-18 09:55:30.000 +09,경기,믿음모터스,64루1290,1,1,4,33.9529,68.8687,0,0,,아반떼
18639,39195708,제네시스,G80,3.3 GDI,럭셔리,201703.0,2017,1099.0,208744.0,가솔린,오토,ORIGINAL,일반,2025-03-19 23:29:19.000 +09,경기,(주)고물상,10루7719,3,0,1,162.5387,0.0,0,0,,제네시스
16182,38466878,제네시스,GV80,3.0 디젤 AWD,,202011.0,2020,4990.0,81785.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:20:13.000 +09,서울,(주)프라임 모터스,220어7225,1,0,1,331.592,0.0,1,0,,제네시스
8770,39043524,현대,싼타페 TM,디젤 2.0 2WD,익스클루시브 스페셜,201812.0,2019,2320.0,41751.0,디젤,오토,ORIGINAL,일반,2025-03-20 09:09:03.000 +09,경기,카스토리,47수3927,1,1,1,66.229,115.556,0,0,,싼타페
12664,38680827,현대,그랜드 스타렉스,3인승 밴,CVX 럭셔리,201305.0,2014,970.0,113720.0,디젤,오토,ORIGINAL,일반,2025-03-20 10:12:03.000 +09,대구,KD모터스,83러6822,2,2,1,128.0705,270.6117,0,0,,스타렉스
30191,38630828,현대,더 뉴 아반떼 AD,1.6,스타일,201902.0,2019,1290.0,104320.0,가솔린,오토,ORIGINAL,일반,2025-03-20 06:51:51.000 +09,전북,대한오토,16가4098,2,1,0,132.225,97.6328,0,0,,아반떼
12265,39021958,현대,코나,1.6 터보 2WD,모던 팝,201712.0,2018,1495.0,53716.0,가솔린,오토,ORIGINAL,일반,2025-03-19 14:37:10.000 +09,대전,서희디오토,45구1329,0,0,0,0.0,0.0,0,0,,코나
17409,39237456,제네시스,더 뉴 G70,가솔린 2.0T 4WD,(세부등급 없음),202103.0,2021,3450.0,48106.0,가솔린,오토,ORIGINAL,일반,2025-03-20 09:00:19.000 +09,경기,수성자동차,241모1542,1,0,1,0.0,0.0,1,0,,제네시스
9984,37005785,현대,싼타페 TM,디젤 2.2 4WD,프레스티지,201810.0,2019,2050.0,102694.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:35:12.000 +09,경기,주식회사김포오토파크,22더1982,1,1,3,484.2966,800.0,0,0,,싼타페
10202,39148897,현대,더 뉴 싼타페,디젤 2.2 4WD,프리미엄,202101.0,2021,2290.0,112657.0,디젤,오토,ORIGINAL,일반,2025-03-19 23:23:13.000 +09,경기,차투차,152호2439,0,0,0,0.0,0.0,0,0,,싼타페
26931,39152399,현대,아반떼 AD,1.6 터보 스포츠,오리지널,201709.0,2018,940.0,112342.0,가솔린,오토,ORIGINAL,일반,2025-03-20 14:15:04.000 +09,경남,히트모터스,399수4858,4,1,6,584.6158,48.029,1,0,,아반떼
22418,38895182,현대,더 뉴 그랜저 IG 하이브리드,캘리그래피,,202103.0,2021,2930.0,81879.0,가솔린+전기,오토,ORIGINAL,일반,2025-03-19 23:38:03.000 +09,부산,오토플러스(주),269노8363,1,0,3,208.72,0.0,0,0,,그랜저
